,issuekey,title,description,storypoint
28,STUDIO-2784,Addition of DB2 and MS SQL Server to the list of databases on Studio JDBC connector configuration window - Studio Work,addition server list studio connector configuration window studio work today show derby oracle however large add two set connector configuration screen,8
29,STUDIO-2147,Only queryKey is marked as mandatory for JDBC endpoint while Address is a valid attribute if queryKey is not specified,marked mandatory address valid attribute marked mandatory address valid attribute query address nowadays address attribute get error saying please specify query,2
30,STUDIO-2154,error adding context:property-place-holder,error context property place holder since possible add context property place holder tag switched editor view used auto generate declaration context property location mule studio added automatically location like schema context null fixing location manually fine,5
31,STUDIO-2162,"cloudhub integration needs progress bar, cancel button and run in backgroun",integration need progress bar cancel button run actual file take depending connection size time way knowing still responsive anything else also pushing button forgot something abort lastly nice run option many eclipse,2
32,STUDIO-2179,Components and flow arrow inside response block should be displayed in the reverse order,flow arrow inside response block displayed reverse order flow request response message flow inside flow different direction request go left right response right left case response component part response flow inside response go left right like request flow would expect inside response element displayed reverse order arrow direction flow go right left,34
33,STUDIO-2235,Direct-edit display name has a strange behavior under Windows,direct edit display name strange behavior direct display name element canvas box couple strange writing name scratch erase everything start writing first character upon second character first one visible though still display name empty box middle expanding right platform independent would centered element image,5
34,STUDIO-2278,DM field editor navigation,field editor navigation really cool field editor data source editor hit tab key get column lease row day focus button move mouse navigate grid,2
35,STUDIO-2294,Exception Strategy inside choice making trouble,exception strategy inside choice making trouble try insert reference exception strategy inside choice nothing message flow view view exception strategy added see,5
36,STUDIO-2299,"When deleting a field, everything seem to be deleted due to collapse",field everything seem due collapse added one field going used delete map automatically giving idea everything end user may collapse expand issue,8
37,STUDIO-2309,"When looking for JDBC in the Global Elements filter, nothing is shown",looking global filter nothing shown go global tab create write filter,8
38,STUDIO-2310,Entity IDs are not being generated correctly,entity correctly setting component really relate application generation mule entity long random reproduce create project flow drop logger open text editor see entity long unrepresentative additional information upon making modification flow entity name,8
39,STUDIO-2312,Warning icon shown in GUI but not in XML,warning icon shown sap transformer warning nothing displayed error log view see attached problem related sap editor definition,8
40,STUDIO-2315,Bad maven project import in studio using studio:studio,bad project import studio studio studio tried import project studio studio couple trying generate archetype export project included folder export main test test attached find project trying import export,5
41,STUDIO-2321,"Data Mapper DB Lookup Table, java.sql.SQLException: Streaming result set com.mysql.jdbc.RowDataDynamic is still active",data mapper table streaming result set still active table multiple time one transformer led exception,8
42,STUDIO-2327,Studio randomly crashes when multiple flows are re ordered and referencing one another.,studio randomly multiple ordered one another hi user still seeing studio even told project main flow multiple sub think part issue may mule multiple flow gotten error although full replication yet time flow original name new name show flow reference drop try reference second sub flow first sub flow multiple sub file add flow reference call get error note issue corrected error got entry eclipse message error application please report incident studio feedback save stack mule tooling editor merger merge mule tooling editor mule tooling editor mule tooling editor mule tooling editor mule tooling editor eclipse internal run eclipse internal run eclipse operation eclipse operation run eclipse window run eclipse custom eclipse window run eclipse internal run eclipse internal eclipse internal snip thanks,8
43,STUDIO-2367,There are problems when you zoom out in a flow,zoom flow reproduce create project file several add exception also zoom pressing command issue see drawn right side check video also drag drop feedback image weird behaviour lot distance mouse feedback image,8
44,STUDIO-2368,When doing drag and drop you are not able to scroll across the long canvas,drag drop able scroll across long canvas reproduce create file many try scroll drag drop issue stock able scroll take account use case zoom,5
45,STUDIO-2376,Static Component in a poll is removed when generic endpoint connector is changed or removed in Message Flow ,static component poll removed generic connector removed message flow tested following way two global name address b name address file test new flow added polling component frequency added static component return data hello world added generic outbound reference ran project everything work properly flow designer double generic outbound added something documentation tab saved flow flow documentation everything remains intact actual flow documentation static customer two global name address b name address file test new flow added polling component frequency added static component return data hello world added generic outbound reference ran project everything work properly flow designer double generic outbound reference saved flow,3
46,STUDIO-2383,JDBC EE namespace appended to almost everything,almost everything automatically everything file even delete code reappear e g code connector name ref true doc name context property schema mule location mule mule spring spring bean schema mule id name class mule spring spring property name spring map spring entry key net value spring entry key net value home spring map spring property spring bean spring bean schema mule id name class standard destroy method shutdown spring property name value secure spring property name value secure spring property name user value secure user spring property name password value secure password spring bean spring data mapper schema mule name doc name code,1
47,STUDIO-2418, Losing the Undo option when moving from flow to the xml view and back to the xml view,losing undo option moving flow view back view something flow view moving view back flow view undo option longer available usability issue,34
48,STUDIO-2428,Mule config file from src/test/resources get copied in src/main/app,mule file test get copied main create functional test case folder test soon open correspondent added main added mule deploy file,2
49,STUDIO-2438,XSDs with namespaces and XML without namespaces issue,without issue received correctly,8
50,STUDIO-2445,DB lookup fields displayed in the Mappings view does not have the correct field names,displayed view correct field table data mapper entering want extract name surname going back view field displayed default like see attached,8
51,STUDIO-2450,DataMapper Encrypting database lookup password over and over again,password component password time user finish button configuration user encryption password password,8
52,STUDIO-2456,properties-ref in context:property-placeholder is not allowed and silently removed,ref context property silently removed ref attribute context property mule studio silently saving graphical view empty location attribute,8
53,STUDIO-2461,"In the SOAP dialog box, when operation is set to JAX-WS client, no browse button exists for setting the client class",soap box operation set client browse button setting client class soap box operation set client browse button setting client class,5
54,STUDIO-2481,Salesforce connector losing Global Element Properties information,connector losing global element information connector losing information global element proxy port going back view message flow reproduce create new project add connector project double click connector generic reference click add button green cross click connector click close connector go view go back message flow view double click connector edit click edit button reference used proxy port longer displayed default see attached,1
55,STUDIO-2482,Choice Router cannot edit routes in Win32XP,choice router cannot edit choice router un going still need support browser lot big new technology,1
56,STUDIO-2484,DataMapper: Exception raised when trying to map the MuleMessage Interface,exception raised trying map interface reproduce create flow open wizard select map select object search class interface issue exception raised code reflect eclipse operation run eclipse run mule wizard mule wizard eclipse eclipse eclipse eclipse eclipse display display eclipse eclipse eclipse eclipse eclipse display display eclipse display display eclipse window window window eclipse window window open window mule wizard eclipse eclipse eclipse display display eclipse eclipse eclipse eclipse eclipse display display eclipse display display eclipse window window window eclipse window window open window mule view mule view mule tooling mule tooling eclipse eclipse eclipse eclipse eclipse eclipse eclipse eclipse eclipse eclipse display display eclipse eclipse eclipse eclipse eclipse display display eclipse display display eclipse internal workbench workbench eclipse internal workbench workbench eclipse internal workbench access workbench eclipse internal workbench run workbench eclipse core observable realm realm eclipse internal workbench workbench eclipse eclipse internal ide application start eclipse equinox internal run eclipse core internal adaptor eclipse core internal adaptor start eclipse core adaptor run eclipse core adaptor run sun reflect native method sun reflect invoke sun reflect invoke reflect method invoke method eclipse equinox launcher main main eclipse equinox launcher main main eclipse equinox launcher main run main class native method class class component tree bean schema generator h unknown source component tree bean schema generator f unknown source component tree bean schema generator b unknown source component tree bean schema generator visitor visit unknown source component tree bean schema model unknown source component tree bean schema generator visitor visit unknown source component tree bean schema model unknown source component tree bean schema model unknown source component tree bean schema generator visitor visit unknown source component tree bean schema model unknown source component tree bean schema model unknown source component tree bean schema generator visitor visit unknown source component tree bean schema model unknown source component tree bean schema generator unknown source component tree bean schema generator unknown source mule wizard mule wizard mule wizard run eclipse operation run mule find via mechanism corrupted mule core jar mule pool mule mule code,8
57,STUDIO-2487,Studio doesn't support complex type nor lists,studio support complex type actually one brace coming first install cloud connector suite tree master connector first list get label description string leave empty time studio code empty get default value slow complex complex cannot defined get option reference work either complex,1
58,STUDIO-2492,Multiple Runtimes: Unknown node definition when using EE components on a project created with a CE Runtime,multiple unknown node definition project ce precondition mule studio ce mule server reproduce create project ce server switch project server try use component business cache nothing happen visually component added exception logged error log see code unknown node definition schema mule custom event mule tooling core module mule tooling mule tooling mule tooling eclipse mule tooling mule tooling update observable observable mule tooling model decorator mule tooling model decorator mule tooling command mule tooling command execute eclipse execute eclipse eclipse eclipse eclipse eclipse eclipse mule tooling editor eclipse eclipse eclipse eclipse eclipse display display eclipse eclipse eclipse eclipse eclipse display display eclipse display display eclipse internal workbench workbench eclipse internal workbench workbench eclipse internal workbench access workbench eclipse internal workbench run workbench eclipse core observable realm realm eclipse internal workbench workbench eclipse eclipse internal ide application start eclipse equinox internal run eclipse core internal adaptor eclipse core internal adaptor start eclipse core adaptor run eclipse core adaptor run sun reflect native method sun reflect invoke sun reflect invoke reflect method invoke method eclipse equinox launcher main main eclipse equinox launcher main main eclipse equinox launcher main run main code,1
59,STUDIO-2535,"Whenever the project has a change, Connections Explorer should warn the user to save the project changes before executing test connection",whenever project change explorer warn user save project test connection whenever project change explorer warn user save project test connection,3
60,STUDIO-2586,DataMapper: Exception generated when using an invalid JSON file,exception invalid file reproduce create use base file bad structure generate issue exception thrown error log code provided file syntax line column mule wizard mule wizard mule wizard eclipse eclipse eclipse display display eclipse eclipse eclipse eclipse link link eclipse display display eclipse internal cocoa o native method eclipse eclipse eclipse eclipse control control eclipse display display eclipse internal cocoa o native method eclipse eclipse eclipse shell shell eclipse display display eclipse internal cocoa o native method eclipse display display eclipse display display eclipse internal cocoa o native method eclipse internal cocoa eclipse display display eclipse window window window eclipse window window open window mule view mule view mule editor eclipse eclipse display display eclipse eclipse eclipse eclipse link link eclipse display display eclipse internal cocoa o native method eclipse eclipse eclipse eclipse control control eclipse display display eclipse internal cocoa o native method eclipse eclipse eclipse shell shell eclipse display display eclipse internal cocoa o native method eclipse display display eclipse display display eclipse internal cocoa o native method eclipse internal cocoa eclipse display display eclipse internal workbench workbench eclipse internal workbench workbench eclipse internal workbench access workbench eclipse internal workbench run workbench eclipse core observable realm realm eclipse internal workbench workbench eclipse eclipse internal ide application start eclipse equinox internal run eclipse core internal adaptor eclipse core internal adaptor start eclipse core adaptor run eclipse core adaptor run sun reflect native method sun reflect invoke sun reflect invoke reflect method invoke method eclipse equinox launcher main main eclipse equinox launcher main main eclipse equinox launcher main run main provided file syntax line column mule editor service mule wizard stream line column parse mule editor service stream line column stream stream peek parse code,8
61,STUDIO-2603,Add Processor Chain to the palette ,add processor chain palette choice use filter inside condition filter inside processor chain fail processor chain already need add palette add description configuration window,8
62,STUDIO-2604,Reference Exception strategy should be able to be dropped inside a choice exception strategy ,reference exception strategy able inside choice exception strategy able drop reference exception strategy inside choice exception strategy,5
63,STUDIO-2618,"When using connectivity test feature, libraries should be automatically loaded to the project",connectivity test feature automatically loaded project connectivity test feature automatically added project path instead showing error,8
64,STUDIO-2625,Transactional: is not being displayed when using the CE runtime ,transactional displayed ce transactional component simple transaction transaction transaction used ce simple transaction option displayed icon common green displayed icon light green,5
65,STUDIO-2628,Transactional endpoints are missing the NOT_SUPPORTED action,transactional missing action part implementation new transactional element need add action transactional transaction action displayed drop list action selected attribute added action,3
66,STUDIO-2636,Documentation generation doesn't work when Flow name contains strange characters,documentation generation work flow name strange example flow name flow also doc link working even component flow documentation displayed anywhere,5
67,STUDIO-2638,No universal way to make comments across GUI and XML,universal way make across bit unusual problem find limited make studio canvas message name doc end also writing spreading describe application believe need come strategy common way making could potentially browse studio like making view without click hovering mouse would probably use description attribute give detailed description message processor would like sometimes able put line brief description somewhere canvas doc name attribute text wrap make canvas look messy message spread good way sorry,34
68,STUDIO-2639,Export to DOCs brings an NPE if you clic when no project is opened,export project reproduce open studio new close welcome screen export doc button issue error log code mule tooling open mule tooling execute eclipse internal execute eclipse core command command eclipse core eclipse internal eclipse internal eclipse eclipse access eclipse eclipse eclipse display display eclipse eclipse eclipse eclipse eclipse display display eclipse display display eclipse internal workbench workbench eclipse internal workbench workbench eclipse internal workbench access workbench eclipse internal workbench run workbench eclipse core observable realm realm eclipse internal workbench workbench eclipse eclipse internal ide application start eclipse equinox internal run eclipse core internal adaptor eclipse core internal adaptor start eclipse core adaptor run eclipse core adaptor run sun reflect native method sun reflect invoke sun reflect invoke reflect method invoke method eclipse equinox launcher main main eclipse equinox launcher main main eclipse equinox launcher main run main code,1
69,STUDIO-2643,Studio deployer needs to support classloader override,studio need support override trying use studio project cloud connector dependency jettison override page documentation display control mule mule deploy file added loader override jettison batch current built manually mule mule pay attention flag application fine need support studio forced tell client stop,5
70,STUDIO-2655,Lossing enpoint reference to a global endpoint across different flow files,reference global across different flow create global e file flow file store global reference global across separate flow complete flow test make sure working graphical editor message flow tab edit display name node point removed flow broken explanation trying introduce test driven development need put together separate flow file test create test flow file corresponding name replace real functional test however fail global across separate flow file even worse removing legal mule suggestion fix option able global across different flow option ignore understand put warning sign instead removing may preferable since may understand added feature mule example scope attribute removed understand also nice try create test complain reference know another ticket,5
71,STUDIO-2662,Resize DM new input argument dialog so the expression field is visible,resize new input argument expression field visible ditto,3
72,STUDIO-2666,Validation error when refering to a global EJB,validation error global global like code spring remote id name snapshot business interface environment naming factory client naming environment remote spring code component like following code component doc name spring object bean component code studio bean attribute spring object element error saying reference unknown global element however configuration valid application without,8
73,STUDIO-2671,Studio 3.4 refers to Mule 3.2 schemas in the XML catalog,studio mule see attached screen shot issue,5
74,STUDIO-2672,Automatically add schemas to the XML catalog for referenced libraries,automatically add one add mule either manually built would great studio could scan recognize mule add current schema would enable code completion anything could add project giving good user experience case added module support visual flow editor,21
75,STUDIO-2673,Contribution sources points to non existent jar,contribution non existent jar sample version extension point mule tooling core contribution mule module snapshot jar mule module snapshot jar mule module snapshot zip schema mule schema mule mule mule module snapshot jar cloud connector snapshot name path version extension mule module snapshot jar exist update site either bug studio taking wrong place,5
76,STUDIO-2678,Create error when XML is invalid,create error invalid saving invalid configuration error message error line number error eclipse view marked red marker editor would help could done,8
77,STUDIO-2680,Consider enabling search for task tags by default,consider search task default default task general structured test task default would provide task support configuration,3
78,STUDIO-2682,XML matching tag highlighting does not work,matching tag work even though matching tag general editor text annotation matching tag ex flow positioned flow get,5
79,STUDIO-2685,ALL mflows are deleted when modifying the buildpath,take project go build path make whatever modification click file actually see delete operation go git status studio,8
80,STUDIO-2686,<set-variable> and <flow-ref> should have their doc:name attributes default to more relevant values,set variable flow ref doc name default relevant right default add set variable flow ref doc name default like variable flow reference unless user something specific default something representative processor example case case flow ref name flow case set variable set property could something like name expression case could collection expression forth work processor visual view also like champ view,8
81,STUDIO-2693,Error database connector name needs to be unique,error connector name need unique studio source name need unique one connector unique may happening seen,5
82,STUDIO-2694,Classes from included java build path projects not available at runtime,class included build path available step reproduce attached import studio edit build path mule project add test dependency project project run flow trigger exception support work studio,13
83,STUDIO-2700,Datamapper dependencies are not added to the studio generated pom,added studio pom trying run studio pom file run following invalid content found starting element data mapper add dependency mule module data mapper version mule version version scope provided scope dependency run error bean name inner bean invocation method exception mule module mule,5
84,STUDIO-2706,Object builder should work with static meta-data,object builder work static meta data studio user would like able use object builder static meta data,13
85,STUDIO-2716,Mule Debugger and Java Debugger collide,mule collide mule flow shift mule evaluation window test mule expression fine however transformer open evaluation window regular eclipse mule inspection tool instead studio intercept related route mule accordingly depending context,3
86,STUDIO-2718,flow ref editor should be alpha sorted and allow filtering,flow ref editor alpha sorted allow filtering flow ref select box list available alpha sorted filter would also extremely helpful,3
87,STUDIO-2720,Support for referencing external resources,support external project build studio project project pom one module particular spring project pom dependency mule module name module artefact version module version version dependency inside module flow name process flow connector name key store path password password connector spring bean id class standard destroy method shutdown spring property name value driver spring property name value spring property name user value user spring property name password value password spring bean project studio although module jar trying inside project,13
88,STUDIO-2721,"When publishing to application repository, application name accepts characters which are not allowed by MMC and action fails",application repository application name action reproduce build application flow space name spell checker documentation display basic studio tutorial publish application repository studio interface notice application name space make sure reproduce issue behavior application current behavior message reading could deploy domain bad request displayed explanation correct problem note see manually try add application repository console currently appear space please check current version change validate name given application suggest different name maybe used determine project name would instead spell checker basic tutorial example,2
89,STUDIO-2733,Cloud Connectors are missing from plugin,cloud missing cloud missing twitter result get exception along sax read schema document schema mule current mule could find document document could read root element document schema,5
90,STUDIO-2737,Setting the serviceClass attribute in a SOAP message processor (JAX-WS Service) produces garbage text,setting attribute soap message processor service garbage text setting soap service class attribute mule studio interface garbage data service interface working copy test main soap interface bug string string doc name soap reproduce drag drop soap message processor make sure operation set service attempt set service class,5
91,STUDIO-2742,Endpoint exchange-pattern is automatically set to one-way after explicity stating it should be request-response,exchange pattern automatically set one way request response exchange set one way new flow message reproduce create new flow add one way set exchange pattern request response close project open project file add one step save step exchange pattern one way,8
92,STUDIO-2748,"In New Project wizard, New Mule Flow dialog doesn't replace whitespaces in the project name with underscores for the flow filename",new project wizard new mule flow replace project name flow reproduce file new select mule project click next type name field spell checker click next new mule flow file name field set project name replace,3
93,STUDIO-2751,Cannot use transaction ee:xa-transactional or ee:multi-transactional from a test case,cannot use transaction transactional transactional test case getting following error console trying run test case transactional transactional error thread validate license key,8
94,STUDIO-2753,ALL processor ignores news processors in certain situations,processor news certain reproduce drag processor flow drawing area add processor add processor path configuration tab message flow tab add another processor first path switch configuration tab processor step shown switching back message flow tab show processor neither change step lost note save instead step get error telling studio save,8
95,STUDIO-2756,Export can't handle jar files when not in workspace,export handle jar project jar file directory precisely driver project source try export project mule get error saying find jar,5
96,STUDIO-2757,Run history ,run history one project use run several result start getting history run button ide last run eclipse close project related project get button history confuse user studio even though close project run history get clean,3
97,STUDIO-2774,Should not display confirmation dialogue upon successful retrieval of meta-data. ,display confirmation dialogue upon successful retrieval meta data meta data successfully display success dialogue dialogue shown failure,1
98,STUDIO-2773,ObjectBuilder usability improvements,usability left empty object builder show object builder reference column usability get rid reference column together object builder structure look like reuse possible,13
99,STUDIO-2772,"DataMapper should not show meta-data objects as KV pairs, but as an Object ",show meta data object data structure type representation require explicit definition factory studio happen automatically furthermore automatically mappable date,5
100,STUDIO-2783,XMLGregorianCalendar should be automatically mappable and Date->XMLGregorialCalendar mappings should be possible with simple mapping. ,automatically mappable date possible simple data structure type representation require explicit definition factory studio happen automatically furthermore automatically mappable date,13
101,STUDIO-2833,Remove archived examples from Studio,remove studio per following plan key gid following additional work creation two new modification target use latest beyond studio documentation modification documentation target removal tagged archive studio modification reflect section placement git active versus stand alone distribution point view remove except new hello world loan broker,2
102,STUDIO-2777,Remove examples marked as Archive from Studio,remove marked archive studio per following plan key gid following additional work creation two new modification target use latest beyond studio documentation modification documentation target removal tagged archive studio modification reflect section placement git active versus stand alone distribution point view remove except new hello world loan broker,2
103,STUDIO-2841,Place all examples in GIT,place git per following plan key gid following additional work creation two new modification target use latest beyond studio documentation modification documentation target removal tagged archive studio modification reflect section placement git active versus stand alone distribution point view remove except new hello world loan broker,3
104,STUDIO-2760,Updating the set of connectors available in the connections explorer,set available explorer list shown explorer view incomplete following list cannot chosen user try add new connector plus sign explorer file polling jetty quartz sap polling connector active mule addition list cloud empty,5
105,STUDIO-2763,Dragging and dropping a Rollback Exception Strategy into a flow messes up the Message Flow canvas,dragging dropping rollback exception strategy flow message flow canvas dragging dropping rollback exception strategy text whole reproduce create flow scope create global rollback exception strategy click text inside exception strategy drag inside flow bug text exception strategy remains global,5
106,STUDIO-2775,Studio Phase I support for APIkit,studio phase support rest module spec corp display simplified rest service creation studio l f per attached,13
107,STUDIO-2795,A Rollback Exception Strategy on a flow prevents the generation of documentation for that flow,rollback exception strategy flow generation documentation flow rollback exception strategy flow generation documentation flow,5
108,STUDIO-2812,Global endpoint and connector descriptions of certain transports are identical.,global connector certain identical global connector found page certain example description connector mule retrieve server jetty,5
109,STUDIO-2817,Excel To JSON template looks for the wrong type of excel spreadsheet,excel template wrong type excel excel template file inbound looking file extension however file test extension result file,5
110,STUDIO-2820,New JDBC endpoint turns all previous JDBC endpoints to one-way in visual editor,new turn previous one way visual editor reproduce import attached project drag drop palette create e new flow switch editor copy last paste content inbound step switch visual editor take close look previous see two request response save file visual editor ta da one way,8
111,STUDIO-2824,Select the sort direction connector queries,select sort direction connector studio developer want select sort field sort direction query connector find data application looking acceptance criterion sort ascending descending connector support,5
112,STUDIO-2825,Display and customize generated connector queries,display connector studio developer want see query connector understand going advanced acceptance criterion displayed edit expression reset expression go back query receive warning cannot edit used generate query query query editor displayed connector support,8
113,STUDIO-2827,Mule 3.4 Pairing with Registry,mule registry mule user would like configure mule instance paired registry account registry key may able manage instance registry user configure registry key registry account within studio instance studio running within studio paired registry instance application stand alone instance registry project paired defined per configuration per project studio configuration detailed spec corp display registry interaction license management support,8
114,STUDIO-2828,Testing - Mule 3.4 Pairing with GA Registry,testing mule ga registry mule user would like configure mule instance paired registry account registry key may able manage instance registry user configure registry key registry account within studio instance studio running within studio paired registry instance application stand along instance registry project paired defined per configuration per project studio configuration detailed spec corp display registry interaction license management support,8
115,STUDIO-2829,Mule 3.4 Dynamic Lookup with Registry,mule dynamic registry studio user would like use dynamic component within detailed spec defined corp display dynamic router registry dynamic resolution,5
116,STUDIO-2831,Public docs on enabling/creating a connector with meta-data support,public connector meta data support,3
117,STUDIO-2832,Studio Welcome Page Update,studio welcome page update studio welcome page minimum front page contain description included fact,8
118,STUDIO-2842,Cloud Connectors that do Not have Meta-data Should Work with new meta-data enabled version of Studio without issues,cloud meta data work new meta data version studio without built new meta data work working without introduction meta data,8
119,STUDIO-2850,Maven - POM.XML dependencies update when other components than CCs are used,pom update used present pom automatically used however within studio canvas lead automatic update pom,8
120,STUDIO-2863,Maven - Import existing Maven project into Studio,import project studio developer would like import non studio mule project studio start studio develop,8
121,STUDIO-2865,Retrieved metadata from operations must be available through different Studio session.,must available different studio session user want operation retrieve available different studio session must disk,8
122,STUDIO-2868,Getting exception when attempting to add a SalesForce Cloud Connector,getting exception add cloud connector exception thrown add cloud connector flow file following error message returned cannot get mule studio reproduce create new mule project select option create pom file go global tab attempt add cloud connector one authentication,8
123,STUDIO-2875,DataMapper fields not alphabetized for Maps/POJOs,object alphabetically making hard navigate input output map structure sorted alphabetically,5
124,STUDIO-2885,Incorrect XML is generated when changing the transaction demarcation of nested transactions,incorrect transaction demarcation incorrectly flow say two transaction second inside first would look code transactional transactional transactional transactional code demarcation first transaction transactional would incorrectly code transactional transactional transactional transactional code reproduce create two transaction one inside place inside inner transaction scope attempt change demarcation outer transaction scope bug message flow canvas go sync delete every transaction scope message flow canvas bug remove,8
