,issuekey,title,description,storypoint
13,APSTUD-994,PHP: Error updating PHP error markers,error error code entry editor message error stack eclipse core internal marker id found eclipse core internal marker marker eclipse core internal marker marker eclipse core internal marker marker editor internal core builder flush eclipse internal core ast ast ast editor internal indexer editor indexer editor indexer run eclipse core internal worker run worker subentry eclipse core message marker id found code,5
14,APSTUD-1313,Auto-configure Python interpreter (if possible),auto configure python interpreter possible div p project python interpreter eventually find auto configure everything fine p p suggest two error icon project like configure interpreter would first try auto configure interpreter alert could direct people normal preference page could fix problem manually necessary p div,1
15,APSTUD-1378,Updating to latest RCP on dev installs JDT plugins,latest dev div p seeing content explorer something seen digging like got applied especially surprising since dug see installation yet see belonging sure got p div,13
16,APSTUD-1469,Terminal process cannot be killed with Ctrl+C or Ctrl+Break,terminal process cannot c break div p assigned terminal process cannot tender discussion tender p p start long time process terminal window neither press c break press z pause p div,13
17,APSTUD-1609,JS inferencer should honor @memberOf sdoc tag,honor tag currently process may even case likely parser scanner model need extended support tag well,20
18,APSTUD-1698,No file system is defined for scheme,file system defined scheme log file code entry eclipse core message file system defined scheme reference code,5
19,APSTUD-1839,Allow to open a closed project by double-clicking on it in Project Explorer,allow open closed project double project explorer div p latest preference selected open double click work switched single click result work p p let know need information p p thanks p div,5
20,APSTUD-1889,The editor find toolbar interrupts certain keyboard shortcuts,editor find certain keyboard scenario several open cursor focus somewhere within find bottom screen f reproduce open file studio editor open find f focus press tab behavior user able use o keyboard studio actual behavior keyboard work focus find note also open resource close window w,5
21,APSTUD-1978,Error deleting project attached to git,error project attached git div tried delete test project used got exception caught delete resource could delete git p p p code could delete e eclipse git could delete e eclipse git code p could delete e eclipse p p could delete e eclipse git could delete e eclipse git could delete e eclipse could delete e eclipse p div,8
22,APSTUD-2120,Menus aren't visible in Ubuntu Unity window manager,visible unity window manager show menu bar unity window manager,8
23,APSTUD-2129,"""select tag area"" feature",select tag area feature div p assigned select tag area tender discussion see tender request suggestion allow one click access select content tag pair suggest ruble command select tag pair content select tag content p p made feature request p p support browse support browse p p select tag area p p feature every text editor designed edit syntax content available significantly time spent complex markup p p unfortunately one tool know quantum plus old buggy tired editor live without p p feature becomes p p logged request back much version circulation fire remind potential make sure make stick p p afraid basic feature still unavailable justify future p p moment quantum heavily environment code freely python choice dislike use one text editor love use without feature analogous select tag area afraid game p div,5
24,APSTUD-2134,Add .location property to file templates,add location property file div p current system p code class ruby template custom template invoke context time io read file match match end end code p something like project p code class ruby basic web type web location zip description basic template default index file end code p e p code class ruby template custom template location end code p default would environment substitution p div also add setting allow turning parameter substitution identical project,1
25,APSTUD-2186,Chromium: Update WebKit Browser implementation to cef_rev392,nan,20
26,APSTUD-2252,Warn user if they are creating project in an area with pre-existing files,warn user project area div p change apply em em new project support p p user use default location provide warning message right location field location question already since path long make sure easy see full path user saving project p div,1
27,APSTUD-2286,Implement improved terminal hyperlink detection,implement terminal detection terminal long history output couple mouse wheel jump back certain point however manually drag scroll bar see history beyond point seen reproducible machine tail see similar attached movie short investigation issue implementation detection terminal detection issue fix implement detection code make free drawing,8
28,APSTUD-2345,Add color preview support for SASS editor,add color preview support editor editor support color preview way editor build studio build build date may,5
29,APSTUD-2430,Find bar should auto-select search text when opened,find bar auto select search text div p currently open find bar f text selected cursor beginning input think automatically select content input start immediately replace whatever last search p div,5
30,APSTUD-2451,Support CoffeeScript syntax coloring,support syntax coloring div p support syntax coloring coffee script coffee script p div,1
31,APSTUD-2573,Pydev local import quick fix does not condense imports from same file,local import quick fix condense file div p reproduce p code class python class object string import template return template press line hold string string code p result p code class python class object string import template string import return template code p p code class python class object string import template return template code div,1
32,APSTUD-2691,Add F2 support for Content Assist Hover,add support content assist hover pop content assist hovering content provide focus,20
33,APSTUD-2705,Expand / Collapse icons in Project Explorer drawn with 1px borders,expand collapse project explorer drawn please see attached expand collapse white border surrounding making look bit ugly,13
34,APSTUD-2708,Allow colorization of folding/line number area in editor gutter,allow colorization folding line number area editor gutter studio could custom color area line folding site see image seem lost ability studio,1
35,APSTUD-2710,"Allow us to set a flag on ParseNodes to filter them our of outline, but to include their children",allow u set flag filter outline include sometimes ast want denote structure something internally make sense outline field code common easily skip flatten node e ruby want inside want show block else switch case meaning show node show relevant,1
36,APSTUD-2712,Allow per-project formatter settings,allow per project rather apply globally allow per project,1
37,APSTUD-2715,"Code assist ""explanation"" overlays on top of code assist dropdown overlay.",code assist explanation top code assist overlay code assist selector code overlay explaining selector top selector instead side cannot see possible overlay way,1
38,APSTUD-2717,Code assist cancels out if using quotations on javascript opener tags,code assist opener script language code assist overlay however use sign code assist appear studio format code please,1
39,APSTUD-2727,Add support for JavaScript white-space code formatting,add support white space code add control,1
40,APSTUD-2728,Add warning when adding a theme rule that duplicates an existing rule,add warning theme rule rule new rule theme possible user may add rule one trying color scope user confused new rule generally work suggest warning another rule exactly current definition ask would like edit rule instead rule rule exactly definition would like edit rule instead yes delete rule could possibly done warning well experimentation might necessary see intuitive,8
41,APSTUD-2733,Separation for PHP element colouring,separation element separation element public private abstract static,1
42,APSTUD-2752,Support Ruby Watch Expressions,support ruby watch support watch ruby like port easily single class couple class registered via core extension point,8
43,APSTUD-2758,Display a helpful error message when self-closing a non-void HTML tag,display helpful error message self non void tag two different related reproduce enter video edit window actual result window video result window something like self syntax used non void element reproduce enter div edit window actual result result error displayed result window something like self syntax used non void element,1
44,APSTUD-2771,"Change default URL for ""Add Remote"" Git dialog box",change default add remote git box currently remote default git project git read suggest instead default git project git read write alternately might ask user contributor project observer perhaps offer switch two,1
45,APSTUD-2772,"Add new ""push new branch to remote"" command to Git menu",add new push new branch remote command git menu local project new user instructed following git remote add origin git project git git push u origin master first one done inside studio add remote second one user forced terminal push new branch remote menu option help step,1
46,APSTUD-2773,Add hints/warnings/tips around SFTP error dialogs.,nan,1
47,APSTUD-2775,Slightly re-arrange existing project creation UI for template selection,slightly arrange project creation template selection attached tiny bit order use template leave create project box checked choose template suggest two leave check user actually selected template list remove instead add template top option list selected default,1
48,APSTUD-2782,Create JS Type View for Projects,create type view currently sort mix type lexical outline create separate view type information index currently active project would separate outline view,1
49,APSTUD-2789,Nicer default name for theme copy,default name theme copy open studio page press button make copy theme note default name new theme suggest name copy copy duplicate naming eclipse,1
50,APSTUD-2796,Add FTPS option to disable SSL/TLS session resumption,nan,1
51,APSTUD-2798,"Add ""Deploy"" Menu-Entry to ""Merge Results"" Context Menu",add deploy menu entry merge context menu merge view merge listed x possible directly view x menu entry view search project explorer explorer deploy menu entry context menu merge view,1
52,APSTUD-2809,Add editor debug items to properties view,add editor view studio useful see information current position cursor suggest view following information depending current cursor position would show following content type text scope source text offset start offset end length,1
53,APSTUD-2811,"""Automatically sync my changes with the remote site"" only syncs one way",automatically sync remote site one way deployment automatically sync remote site selected automatically sync chosen opening file remote connection making change saving file initiate sync local copy file local copy remains unchanged opening file locally saving initiate sync remote copy,8
54,APSTUD-2816,"Convert ""New From Template"" menu to create ""Untitled"" files by default",convert new template menu create untitled default currently file new template menu new project based file new file depending active selection project explorer project based behavior many want ability create new untitled file possible user would preselect type file e order achieve studio selection based current selection worked clumsy solution different proposal default make new template menu adopt following behavior file new template new untitled file type new behavior right click project project explorer view new project based file current behavior right click file system node project explorer new file file system current behavior link another ticket make easier save file project file depending user preference,1
55,APSTUD-2817,"Add dialog to allow user to choose between saving a new ""Untitled"" file into a project or the file system",add allow user choose saving new untitled file project file system saving new untitled file default mechanism bring save file system save file somewhere drive becomes instead want save project unfortunately universally add option possible untitled derived editor class propose following override default behavior untitled pop user save file system project radio button selection depending choice pop correct subsequent save extra somehow embed save choice user answer two subsequent also suggest could user remember choice almost always want one,1
56,APSTUD-2820,Handle common meta-programming idioms that define methods for Ruby indexing,handle common meta define ruby indexing number class level attach delegate currently handle need look manually expand type method list include result calling,1
57,APSTUD-2821,Allow for go to declaration on Ruby require/load strings,allow go declaration ruby require load support go declaration like type method support opening related file require load,1
58,APSTUD-2823,Allow spacing customization in CSS Formatter,allow spacing currently format spacing various syntax like,1
59,APSTUD-2843,Add XML parse-level validation,add parse level validation enter syntax document warning left gutter replicate open studio select file template file new template template open new file editor select text enter following file content invalid tag actual syntax left gray left gray report invalid syntax,8
60,APSTUD-2853,Create wrapper for InstanceScope() and DefaultScope() in code,create wrapper code eclipse however replacement instance available eclipse cannot universally switch yet deprecation problematic since display unused annotation eclipse suggest making wrapper single thus two view rather hundred,1
61,APSTUD-2854,"""New From Template"" should list all possible file types, and provide a template option for each",new template list possible file provide template option file instance really default template basically empty document make sure entry new menu suggest instead scanning file type template attached suggest entry file type blank file also make easier convert file new template create untitled cut number unnecessary,1
62,APSTUD-2901,Create Aptana Studio Start Page,create studio start page would crib titanium studio start page page show first update page would contain following content link documentation link install link install library link release latest version link stack overflow,1
63,APSTUD-2902,PHP chaining code hinting,code class chain pattern code function chain parameter example class q create q select list available function displayed q create q code,5
64,APSTUD-2941,Notify Studio 2 users that there is an upgrade to Studio 3,notify studio upgrade studio probably something home page also perhaps tell new direct install new version show migration guide,1
65,APSTUD-2971,Use regular expressions to improve scope selector matching performance,use regular improve scope selector matching performance current implementation matching require roughly n worst case wondering could convert selector perform match instead would lot faster example bit selector could look like following code b text z b b source z b code,13
66,APSTUD-2983,App Explorer constantly refreshing/resorting contents on Git-bound projects,explorer constantly refreshing content git bound reproduce check project git suggest ruble file import git repository switch explorer expand folder edit save note order repeat new file see screen short,8
67,APSTUD-2998,Stage hunks/selected lines with Git in Aptana Studio 3?,stage hunk selected git studio got working nicely git one thing opening git staging part file git select either stage stage hunk allow stage file important support staging individual hunk,20
68,APSTUD-2999,Can't set breakpoint in haml (ruby) templates,set ruby editor allow setting ruby view ruby code starting ruby code like please describe detail thanks,1
69,APSTUD-3014,"Support ""ftp"" scheme using EFS filesystem extension",support scheme extension support infrastructure forget handling assume connect e login password port host able see use editor trying get content assist public anonymous site enter code code space cursor something user actually getting back pub incoming,1
70,APSTUD-3045,Upgrade Hudson to latest version,nan,1
71,APSTUD-3053,Support for Mac OS X Lion Full Screen View,support mac o x lion full screen view mac o x lion full screen feature lot native would great feature like,8
72,APSTUD-3061,Copy/Cut/Paste intermittently fails in editor,copy cut paste intermittently editor strange issue happening since studio version sometimes copy cut text editor paste somewhere else different file paste last thing second last depending look instead recent thing copied thought maybe keyboard working since never experienced something like worker also copy paste knew one time copy paste sure another bug side bug isolated know replicate know happening seemingly random time update people relief unbinding command c copy general unbinding resolved issue copy paste randomly working also long standing eclipse issue eclipse id eclipse id investigation,13
73,APSTUD-3100,Create FindBugs Profile appropriate for validating code correctness,create profile appropriate code correctness default profile strict current code base need create limited profile use validate code possible please create profile run current source code see pas around confirmation,1
74,APSTUD-3101,Create PMD profile to validate Studio code,create profile validate studio code default profile strict create default profile use validate code correctness please create profile run current source code see pas around confirmation,1
75,APSTUD-3130,Upgrade Unit Test Coverage,upgrade unit test coverage current unit test coverage around class method block line need get higher class need test please create sub task class want test edit document indicate test already task particular class someone else one choose another bunch related class group one task coverage class class method block line default emma core,20
76,APSTUD-3132,Update Studio version # from 3.0.4 to 3.0.5,nan,1
77,APSTUD-3133,"JavaScript - ""Auto format code block when typing closing brace '}'"" formatting option as there is in Aptana 2",auto format code block brace option great feature auto format code block brace setting accessible window would nice feature attached screen another showing behavior solution add preference default setting find relevant ast convert selection perform format add lot unit,20
78,APSTUD-3149,Convert cygwin paths to Windows paths in ENV when executing process outside Terminal (console/process/ProcessBuilder),convert process outside terminal console process ran issue path holding breaking git added method convert two need make sure convert anywhere inside terminal bash,1
79,APSTUD-3189,Support Javascript go to definition hyperlinks,support go definition come trying close must studio x ticket support go definition,1
80,APSTUD-3228,Allow creation of a new project by dragging folder into root of project explorer or onto dock icon,allow creation new project dragging folder root project explorer onto dock icon simple create project dragging folder finder explorer either project explorer root onto e g dock icon studio basic function although done tree project explorer tedious dig entire hierarchy access folder already o browser view first feature eclipse still please implement valuable first time experienced alike,13
81,APSTUD-3250,Shrink (or remove) errant indexing messages,shrink remove errant indexing file indexing following message printed log file code entry eclipse core message resource build android bin asset exist entry editor message build error file found c titanium studio build android bin asset stack eclipse core file found c titanium studio build android bin asset eclipse core internal policy error policy eclipse core internal local editor index index core index index core index core run eclipse core internal worker run worker io c titanium studio build android bin asset system cannot find path io open native method io unknown source eclipse core internal local subentry eclipse core message file found c titanium studio build android bin asset stack io c titanium studio build android bin asset system cannot find path io open native method io unknown source eclipse core internal local editor index index core index index core index core run eclipse core internal worker run worker code bit need print message perhaps print modification top one w stack trace display stack trace severity,8
82,APSTUD-3307,"Aptana Studio has wrong ""My Documents"" path",studio wrong path studio wrong causing initial start studio error periodic save problem see attached path given error wrong somehow studio main profile drive wrong folder drive wrong folder wrong drive lot space store stuff wrong easily item would non issue used correct due bug drive full mysterious far tell either c addition installation probably due install incorrect path,13
83,APSTUD-3316,Support Node.js editing,support node code assist support auto documentation see node core example possible,20
84,APSTUD-3322,"Find new location for Aptana Rubles folder, or create it on demand",find new location folder create demand upset creation empty folder user home given user directly top level current location may antiquated rarely interact folder directly help eclipse indigo index topic eclipse platform doc possible better location would configuration area alternately could create folder user actually install new,8
85,APSTUD-3343,"No ""Synchronize"" option in right-click menu",synchronize option right click menu create new local project create connection remote server right click file local project synchronize option may synchronize deploy though deploy root suggest really need sync option type,8
86,APSTUD-3368,Add console.debug selector to default themes,nan,1
87,APSTUD-3376,PHP: Add Open Type/Method PHP feature,add open type method feature one feature sorely open type eclipse attached feature eclipse,5
88,APSTUD-3380,Upgrade packaged JRuby to 1.6.4,upgrade currently use least one bug causing,1
89,APSTUD-3381,Upgrade jrubyparser plugin to latest from github,upgrade latest syntax latest source need clone compile put new perform afterwards result,1
90,APSTUD-3402,Update FTP Library to 3.9.1,update library new update library history,1
91,APSTUD-3422,Show differences in synchronize window extremely slow.,show synchronize window extremely slow synchronize bring synchronize window list show preview window right click file need show long time text window exact used produce issue click project explorer tab click project right click deploy synchronize window showing list right click file need click show work range anywhere compare longer gave,8
92,APSTUD-3427,Add cherry-pick support for Git,add cherry pick support git currently action command support cherry git resort command line nice add,1
93,APSTUD-3430,Improve the PHP outline to display a true nesting of HTML nodes,improve outline display true display correctly inside vice verse,1
94,APSTUD-3431,Remove the dependency com.aptana.core plugin has on com.aptana.index.core,remove dependency core index core dependency causing lot inconvenience index core could depend removed,1
95,APSTUD-3435,Show better error messages when invoking a command without the proper Ruby gem Installed,show better error command without proper ruby gem end user command convert without appropriate ruby gem error via console replicate open studio open saved file invoke command convert actual editor message console error invoke block command convert home configuration eclipse ruble broken pipe broken pipe write class home configuration eclipse ruble class home configuration eclipse ruble call call result editor could return concise error message approach add function running ruby command check existence gem gem missing alert user ideally install gem would need update appropriate approximately,13
96,APSTUD-3456,TiStudio - Git clone from http:// address instead of git://,git clone address instead git customer add git access sometimes behind git inaccessible way code git clone git git code still use code git clone git code currently working ti studio feature request add,1
97,APSTUD-3482,Confirm Token Scanners are updated to handle multiple queries for the same token,confirm token handle multiple token related bug need confirm token querying scanner multiple time token returned length offset,1
98,APSTUD-3483,PDT/WST editors are not available in an Aptana PHP project,available project set project web select file right click open editor though one editor editor editor file unable select editor menu,8
99,APSTUD-3492,Use Aptana theme for Aptana editors only,use theme originally posted eclipse use theme editor use eclipse like cobalt theme however theme making ing nearly impossible background dark blue text black compare editor look eclipse figure way use cobalt theme tried made editor default made default normal non whatever tried setting theme making sure general appearance color still theme something white background ing editor becomes readable else want use default theme,8
100,APSTUD-3521,"Button on the toolbar for option ""Show white space characters""",button option show white space create quick button option show white space please easy go menu every time show hide white space,1
101,APSTUD-3537,Content assist may be unreadable with dark aptana themes,content assist may unreadable dark ruby dark theme content assist window still white background unfortunately white text content assist current one stay even invasive happen e g background content assist white text black despite dark theme,8
102,APSTUD-3541,Changing selection in Project Explorer causes redraw/selection issue,selection project explorer redraw selection issue annoying one like based project selection new button getting added removed project explorer specifically sync button result see two bar go right view name tab underneath ability select intermittently mouse forced use keyboard select mobile project local web project selected underneath disabled blue mobile project selected show sync deploy menu mobile set,5
103,APSTUD-3552,Drop files from the remote view to a local folder,drop remote view local folder hi would could drag remote view local folder folder browser way local folder remote view already work fine would without configure connection client already found sorry,5
104,APSTUD-3559,Editor scrolling to far left of viewport when typing on long lines of code,editor far left long code type long line code usually string big editor keep cursor position get confused scroll back left exactly home key keeping cursor current location attached screen shot show big h bar look like often true false always case,40
105,APSTUD-3560,Content assist content wraps short of popup edge,content assist content short edge long parameter sometimes auto complete hard read shown attached code framework content wrap according width break early,13
106,APSTUD-3562,jQuery CA missing Deferred,ca missing deferred ca menu propose deferred replicate open studio open file web project verify project context menu project build path ruble enter code document ready function invoke ca space pipe actual ca include deferred ca include deferred,21
107,APSTUD-3563,jQuery CA missing .promise,ca missing promise ca menu propose promise replicate open studio open file web project verify project context menu project build path ruble enter code document ready function invoke ca space pipe actual ca include promise ca include promise,21
108,APSTUD-3565,Create sub-folder under temp for our temporary files,create sub folder temp temporary work lot directory getting nasty work directly find see think would nice feature could custom path see like pulse orbit always,8
109,APSTUD-3567,SELECTED_TEXT in snippet doesn't work as expected,snippet work assume following snippet code snippet ti trigger expansion ti end code type tab code ti note extra code instead select text select snippet menu item e type select select ti menu insert code ti code code ti code,13
110,APSTUD-3569,Aptana freeze while an FTP Name Conflict,freeze name conflict hi related pasting file remote view connection parent folder manually name conflict window correct window causing memory peak complete ide freezing death one letter show input field quite sure think something waiting list command,13
111,APSTUD-3580,Improve build time of unit test build,improve build time unit test build unit test build development way long typically need investigate see help speed since actual text execution take le,1
112,APSTUD-3586,PHP No code assist on Class::getInstance() methods,code assist class code class private instance public static function self instance self instance new self return self instance public function hello echo hello public function world echo world code context code assist may pop automatically suggest available example available list appear arrow string call class work code assist used like code cant like hello world code,13
113,APSTUD-3595,PHP: Context Information fails when there is a string in the parameter list,context information string parameter list one core project two related added core project project context information static core project show file related project context information project able open declaration even class current project stopped showing context information unusable considering move back eclipse problem always want open context information string function call see e g test open context information see search replace subject null later closed test test open context information see nothing,20
114,APSTUD-3599,"Add ""Go to Matching Bracket"" to Javascript editor",nan,8
115,APSTUD-3610,java.sql.SQLException: Database 'aptanaDB' not found.,found see user log file able avoid message code entry usage message error shutting stack found apache derby unknown source apache derby unknown source apache derby unknown source apache derby unknown source apache derby unknown source apache derby unknown source apache derby unknown source apache derby unknown source apache derby unknown source apache derby connect unknown source apache derby connect unknown source usage shutdown usage stop eclipse framework internal core run security native method eclipse framework internal core stop eclipse framework internal core eclipse framework internal core suspend eclipse framework internal core framework framework eclipse framework internal core eclipse framework internal core eclipse framework internal core shutdown eclipse framework internal core suspend eclipse framework internal core framework shutdown framework eclipse framework internal core framework close framework eclipse core adaptor shutdown eclipse core adaptor run sun reflect native method sun reflect invoke sun reflect invoke reflect method invoke method eclipse equinox launcher main main eclipse equinox launcher main main eclipse equinox launcher main run main code,1
116,APSTUD-3621,Ubuntu: Aptana won't save editor tab sizes,save editor tab size strange behaviour try set tab size close ide get default additionally editor lost right window weird,8
117,APSTUD-3650,Create unit tests for snippet tab stop issue,create unit snippet tab stop issue related fix need set unit,1
118,APSTUD-3653,PHP Editor plugin throws exceptions on startup,editor happening development branch get exception every editor typically code taking long start method need work job code entry eclipse message loading class editor thread thread thread main timed waiting thread thread worker main finish starting bundle editor qualifier avoid deadlock thread thread thread main proceeding editor may fully stack framework state change progress bundle reference file editor thread worker eclipse framework internal core eclipse framework internal core start eclipse framework start eclipse internal loader eclipse core internal adaptor eclipse loader eclipse internal eclipse internal loader eclipse internal loader eclipse internal loader eclipse internal loader eclipse internal editor eclipse progress run eclipse run eclipse synchronizer synchronizer eclipse display display eclipse display display eclipse internal workbench workbench eclipse internal workbench workbench eclipse internal workbench access workbench eclipse internal workbench run workbench eclipse core observable realm realm eclipse internal workbench workbench eclipse start eclipse equinox internal run eclipse core internal adaptor eclipse core internal adaptor start eclipse core adaptor run eclipse core adaptor run sun reflect native method sun reflect invoke sun reflect invoke reflect method invoke method eclipse equinox launcher main main eclipse equinox launcher main main eclipse equinox launcher main run main eclipse equinox launcher main main main eclipse framework internal core root exception eclipse framework internal core eclipse framework internal core eclipse framework internal core start eclipse framework start eclipse internal loader eclipse core internal adaptor eclipse loader eclipse internal eclipse internal loader eclipse internal loader eclipse internal loader eclipse internal loader eclipse internal editor eclipse progress run eclipse run eclipse synchronizer synchronizer eclipse display display eclipse display display eclipse internal workbench workbench eclipse internal workbench workbench eclipse internal workbench access workbench eclipse internal workbench run workbench eclipse core observable realm realm eclipse internal workbench workbench eclipse start eclipse equinox internal run eclipse core internal adaptor eclipse core internal adaptor start eclipse core adaptor run eclipse core adaptor run sun reflect native method sun reflect invoke sun reflect invoke reflect method invoke method eclipse equinox launcher main main eclipse equinox launcher main main eclipse equinox launcher main run main eclipse equinox launcher main main main code,5
119,APSTUD-3663,JavaScript validation fails trying to parse minified JS as TODO marker,validation trying parse marker get try save sometimes really annoying build running builder project chrome assertion marker property value long token comment doc merge token comment doc merge f e function clearly something trying parse marker file raw ace master build kitchen sink,5
120,APSTUD-3666,Change the actions defined in Samples view to use commands and handlers so they could be invoked from the portal,change defined view use could portal currently view programmatically old mechanism accessible command service update defined,1
121,APSTUD-3675,JavaScript Comment Auto-complete,comment auto complete editor auto complete common non character opening token line replicate open studio open saved file place either opening token line non character e g function type enter actual editor auto complete comment e function editor auto complete comment e function,8
122,APSTUD-3688,Hook up rails server launching to new servers view,hook server new view view back hook application use used,1
123,APSTUD-3689,Exclude files from the deploy tools using paths rather than by file types,exclude deploy rather file currently option cloak file deployment often file example project remote local example local connection skip every deployment system would kill live system currently way cloaking option think store complete path would useful syntax could like file,5
124,APSTUD-3691,Using XULRunner in Aptana,hi new release based new major disabled seriously security package removed current version told wrote default security know much ask think good idea could run without advanced big problem reinstall directly page mayor security rist think twice complete git integration nut got error like quote unhandled event loop exception unknown path set quote quote hi someone please explain available natty new version de natty major security risk read saw site risk disabled ah disabled remote much backdoor thanks quote,8
125,APSTUD-3694,"JavaScript Document Object Content Assist missing documentMode, getElementsByName",document object content assist missing document object content assist contain reference asp replicate open studio open saved file enter document actual content assist menu include property method reference support property method,5
126,APSTUD-3695,"JavaScript Window Object Content Assist Missing some height, offset and screen properties, and createPopup method",window object content assist missing height offset screen method window object content assist menu missing many replicate open studio open saved file type without double window window object content assist menu include closed document history length location name navigator opener parent screen screeny self status top alert blur close confirm focus open print prompt scroll actual content assist missing following screeny content assist missing following method,8
127,APSTUD-3696,"Set ""Mark Occurrences"" as ""off"" by default",set mark default title make default setting,1
128,APSTUD-3697,"Turn off ""Link with Editor"" in outline by default",turn link editor outline default set default setting,1
129,APSTUD-3699,"""Mark Occurrences"" freezes IDE on large files",mark ide large reproduce copy new web project open file turn mark click first instance function note side bar come quite quickly significant performance hit point ide unusable quite time see performance acceptable though still slow,1
130,APSTUD-3713,GIT functions are not working on linux systems,git working hi related report browse git working first time new version based unity also based gnome shell example try commit got following error message quote unhandled event loop exception unknown path set quote topic need think still dependency left without working developer one problem also error log file quote entry eclipse message unhandled event loop exception stack eclipse unknown path set eclipse error eclipse browser eclipse browser create eclipse browser browser browser git internal git internal eclipse eclipse window window create window eclipse create eclipse create git internal create eclipse window window open window git internal git internal execute eclipse internal execute eclipse core command command eclipse core eclipse internal eclipse internal eclipse internal eclipse eclipse access eclipse eclipse eclipse eclipse display display eclipse display display eclipse internal workbench workbench eclipse internal workbench workbench eclipse internal workbench access workbench eclipse internal workbench run workbench eclipse core observable realm realm eclipse internal workbench workbench eclipse start eclipse equinox internal run eclipse core internal adaptor eclipse core internal adaptor start eclipse core adaptor run eclipse core adaptor run sun reflect native method sun reflect invoke sun reflect invoke reflect method invoke method eclipse equinox launcher main main eclipse equinox launcher main main eclipse equinox launcher main run main eclipse equinox launcher main main main quote good c c guy think calling internal browser throwing error,8
131,APSTUD-3722,"Unable to acquire parser pool for content type: ""com.aptana.editor.text.content-type.generic"" when opening Studio log file",unable acquire parser pool content type editor text content type generic opening studio log file reproduce open studio turn level logging open studio log file switch another file switch back log file see log need test file need ask parser could override nothing case need side effect,5
132,APSTUD-3723,PHP: Open Method (ala PDT) functionality,open method ala functionality open method user navigate method class file project lot easier locate particular method browse looking right method use list filterable find type well allow flexible method studio editor longer work properly would great studio added feature round lost reference open method feature via following default shift,1
133,APSTUD-7615,OpenShift: auto sign-in should not block the UI,auto sign block user previously try authenticate bypass sign wizard page successful however currently operation switching wizard move show progress bar sign page user could cancel operation,8
134,APSTUD-3761,Add GIT Tagging Feature,add git feature would really nice add ability tag git menu currently add push pull commit support right open terminal console manually type something like git tag git push would really save time could thanks considering feature sincerely leighton whiting,1
135,APSTUD-3767,Allow to manually change content assist delay to 0,allow manually change content assist delay would great allow manually change content assist delay annoying example type b wait ca type get border bo quickly ca appear see thread code broken update,1
