,Unnamed: 0,issuekey,title,description,storypoint
15,15,TISTUD-36,launch launch div p add button explorer help current project similar similar p div,Launch debugger against emulators launch div p add button explorer help current project similar similar p div,1
16,16,TISTUD-37,launch device launch device div p similar p div,Launch debuggers against device (tethered) launch device div p similar p div,1
17,17,TISTUD-40,add ad content welcome dashboard screen add ad content welcome dashboard screen retrieve content frame similar location assume static content mode,Add iframe for Ad Content to Welcome/Dashboard screen add ad content welcome dashboard screen retrieve content frame similar location assume static content mode,1
18,18,TISTUD-44,create new titanium studio splash screen create new titanium studio splash screen image titanium splash need replacement replace size use new different size need configure new de article,Create new Titanium Studio Splash Screen create new titanium studio splash screen image titanium splash need replacement replace size use new different size need configure new de article,1
19,19,TISTUD-54,allow install new mobile allow install new mobile div p let easily grab latest mobile install machine p div,Allow users to install new Mobile/Desktop/etc SDKs allow install new mobile div p let easily grab latest mobile install machine p div,1
20,20,TISTUD-62,make explorer active view default make explorer active view default div p currently project explorer front switch explorer p div,Make App Explorer the active view by default in TiDev 2 make explorer active view default div p currently project explorer front switch explorer p div,1
21,21,TISTUD-64,implement validation implement validation div p example see developer question error error generating manifest developer question error error p div,Implement tiapp.xml validation implement validation div p example see developer question error error generating manifest developer question error error p div,1
22,22,TISTUD-65,run device android run device android div p add run device entry android p div,"""Run on Device"" for Android run device android div p add run device entry android p div",1
23,23,TISTUD-66,add add div p mobile install device event p p method used p div,Add pings to Iphone events add div p mobile install device event p p method used p div,1
24,24,TISTUD-67,add android add android div p mobile distribute event use mobile install device event use p div,Add pings to Android Events add android div p mobile distribute event use mobile install device event use p div,1
25,25,TISTUD-68,add blackberry add blackberry div p mobile distribute event use p p mobile install device event use p p blackberry null p div,Add pings to Blackberry Events add blackberry div p mobile distribute event use p p mobile install device event use p p blackberry null p div,1
26,26,TISTUD-69,add add div p launch use p p package use p div,Add pings to Desktop events add div p launch use p p package use p div,1
27,27,TISTUD-71,create reader create reader schema schema defined need create code read following format reader require schema schema support event reader,Create JSCA reader create reader schema schema defined need create code read following format reader require schema schema support event reader,1
28,28,TISTUD-72,store analytic ping store analytic ping want store case user,Store Analytic ping events in database store analytic ping want store case user,1
29,29,TISTUD-73,context code line function context code line function showing particularly object inside method like need follow row current offset whereas right basically one line function invocation start,Context info popup blocks code when using mutli-line function invocations context code line function showing particularly object inside method like need follow row current offset whereas right basically one line function invocation start,1
30,30,TISTUD-85,prompt perspective reset perspective layout information prompt perspective reset perspective layout information pull code studio allow u version perspective perspective version prompt user would like reset perspective new version,Prompt for perspective reset if perspective layout/information has changed prompt perspective reset perspective layout information pull code studio allow u version perspective perspective version prompt user would like reset perspective new version,1
31,31,TISTUD-86,close studio force update user use product past set expiration date close studio force update user use product past set expiration date date june user date use product force update new version shut product disabled used inside eclipse,Close Studio or force update if user attempts to use product past pre-set expiration date close studio force update user use product past set expiration date date june user date use product force update new version shut product disabled used inside eclipse,1
32,32,TISTUD-87,ping related utility class ping related utility class example extract utility class,Refactor all ping related methods to a utility class ping related utility class example extract utility class,1
33,33,TISTUD-101,add titanium mobile add titanium mobile currently way adjust titanium mobile want initialize mac library application support titanium titanium titanium,Add preferences for Titanium Desktop and Mobile SDKs add titanium mobile currently way adjust titanium mobile want initialize mac library application support titanium titanium titanium,1
34,34,TISTUD-106,latest initial titanium latest initial titanium user titanium studio need ensure one ready might done already great otherwise let automatically install latest mobile,Download latest SDK on initial Titanium Startup latest initial titanium user titanium studio need ensure one ready might done already great otherwise let automatically install latest mobile,1
35,35,TISTUD-112,clean actually clean mobile project clean actually clean mobile project need make clean actually remove content build build android directory cause real clean build project regenerate,Clean doesn't actually clean a mobile project clean actually clean mobile project need make clean actually remove content build build android directory cause real clean build project regenerate,1
36,36,TISTUD-115,upgrade upgrade bug saw funky default upgrade possible,Upgrade packaged JRuby to 1.6.0 RC3 upgrade bug saw funky default upgrade possible,1
37,37,TISTUD-121,allow older mobile allow older mobile change install titanium install specific titanium add radio button install top text box stay people paste add browse button surf local location disk install update stream drop via extension point two default release stream net p release list name filter continuous integration master stream mobile master index may need work platform either regularize format b allow extension point apply grab build,Allow users to download older versions of Mobile SDK allow older mobile change install titanium install specific titanium add radio button install top text box stay people paste add browse button surf local location disk install update stream drop via extension point two default release stream net p release list name filter o continuous integration master stream mobile master index may need work platform either regularize format b allow extension point apply grab build,13
38,38,TISTUD-123,exclude build folder exclude build folder application building could see constant progress view,Exclude build folder from AppExplorer exclude build folder application building could see constant progress view,1
39,39,TISTUD-124,keep user since last sign keep user since last sign basically user go currently still could continue use studio restart would better grace period,Keep user signed in for 24 hours since last sign in if offline keep user since last sign basically user go currently still could continue use studio restart would better grace period,1
40,40,TISTUD-125,splash login screen empty user already logged splash login screen empty user already logged attached may page condensed somewhat since think need much space password otherwise place something blank area would look fine pasted top,Splash/Login Screen looks empty if user is already logged in splash login screen empty user already logged attached may page condensed somewhat since think need much space password otherwise place something blank area would look fine pasted top,1
41,41,TISTUD-127,hook language file hook language file code dealing ti dev since anything need implement keeping track,Hook up language modules to be exported in timanifest file during Desktop packaging hook language file code dealing ti dev since anything need implement keeping track,1
42,42,TISTUD-130,enter return login login splash screen enter return login login splash screen first start ti studio login screen hit return nothing invoke login button,Enter/Return doesn't being Login on login splash screen enter return login login splash screen first start ti studio login screen hit return nothing invoke login button,1
43,43,TISTUD-131,change label address splash screen login change label address splash screen login label leading believe always looking user address used register,"Change ""username"" label to ""email address"" in splash screen login change label address splash screen login label leading believe always looking user address used register",1
44,44,TISTUD-136,nan,,1
45,45,TISTUD-138,add portal dispatcher launch specific wizard add portal dispatcher launch specific wizard could done link suggestion allow user specific id e titanium import wizard,Add Portal Dispatcher to Launch Specific Wizard add portal dispatcher launch specific wizard could done link suggestion allow user pas specific id e titanium import wizard,1
46,46,TISTUD-139,add portal dispatcher run specific command add portal dispatcher run specific command add way link trigger specific command studio e titanium ide update command,Add Portal Dispatcher to Run Specific Command add portal dispatcher run specific command add way link trigger specific command studio e titanium ide update command,1
47,47,TISTUD-140,add portal dispatcher open specific view add portal dispatcher open specific view add way link open specific view user interface passing view id explorer view,Add Portal Dispatcher to Open Specific View add portal dispatcher open specific view add way link open specific view user interface passing view id explorer view,1
48,48,TISTUD-141,add portal recently feature add portal recently feature assuming portal communicate get list recently eclipse since eclipse list return array link developer could turn link portal page,"Add Portal ""Recently Opened Files"" Feature add portal recently feature assuming portal communicate get list recently eclipse since eclipse list return array link developer could turn link portal page",1
49,49,TISTUD-143,fix error message user cannot login due network fix error message user cannot login due network user always incorrect login password message,Fix error message when user cannot login due network issues fix error message user cannot login due network user always incorrect login password message,1
50,50,TISTUD-144,fix error message user cannot login due network fix error message user cannot login due network user always incorrect login password message,Fix error message when user cannot login due network issues fix error message user cannot login due network user always incorrect login password message,1
51,51,TISTUD-166,package distribute wizard ugly wrapping package distribute wizard ugly wrapping wizard mimic titanium developer trouble getting look pretty nice job fixing nasty work maybe take look,Desktop Package/Distribute Wizard UI is ugly and has wrapping issues package distribute wizard ugly wrapping wizard mimic titanium developer trouble getting look pretty nice job fixing nasty work maybe take look,1
52,52,TISTUD-167,add link mobile preference screen direct user android add link mobile preference screen direct user android indicate find let add link user already,Add links to Mobile preference screen to direct user where to download Android SDK add link mobile preference screen direct user android indicate find let add link user already,1
53,53,TISTUD-174,login login two login form ist displayed attached,Login between Screens login two login form ist displayed attached,1
54,54,TISTUD-176,update publisher installer update publisher installer currently hovering installer image would already correct format,Update the verified publisher in Windows installer to Appcelerator  update publisher installer currently hovering installer image would already correct format,8
55,55,TISTUD-178,auto wire ca titanium auto wire ca titanium user drop file titanium project get ca,Auto-wire up CA in Titanium projects auto wire ca titanium user drop file titanium project get ca,1
56,56,TISTUD-184,add command install beta mobile based add command install beta mobile based need command probably help install beta titanium mobile via specific something like found index need able recognize difference,Add command to install beta releases of Mobile/Desktop SDKs based on URL add command install beta mobile based need command probably help install beta titanium mobile via specific something like found index need able recognize difference,1
57,57,TISTUD-195,update view include sort descriptive text platform update view include sort descriptive text platform looking view extra description sample question allow sample tagged variety text could use filtering,Update Samples view to include some sort of descriptive text and platform specifications update view include sort descriptive text platform looking view extra description sample question allow sample tagged variety text could use filtering,1
58,58,TISTUD-200,surface overview editor problem view project file surface overview editor problem view project file reproduce create new project import project open actual user need resolve see indication file open indicate user error project import,Tiapp: surface errors/warnings in Overview Editor to Problem view and as project file decorators surface overview editor problem view project file reproduce create new project import project open actual user need resolve see indication file open indicate user error project import,20
59,59,TISTUD-201,allow without user allow without user ideal world user would project brought sure thats possible goal log,Allow importing of existing projects without user modifications allow without user ideal world user would project brought sure thats possible goal log,1
60,60,TISTUD-204,save android distribute later reuse save android distribute later reuse currently user android distribute would convenient save reuse,Save parameters in Android Distribute dialog for later reuse save android distribute later reuse currently user android distribute would convenient save reuse,1
61,61,TISTUD-209,running project device error running project device error reproduce create new project run device see console actual library application support titanium execution error got error continue update error,Running project on iOS device gives an itunes error running project device error reproduce create new project run device see console actual library application support titanium execution error got error continue update error,1
62,62,TISTUD-212,add deploy validation mobile project add deploy validation mobile project previously titanium mobile project deploy set project may compatible environment various like missing unsupported operating system import project wizard display user project perhaps offer fix missing,Add deploy-targets validation when importing existing Mobile project add deploy validation mobile project previously titanium mobile project deploy set project may compatible environment various like missing unsupported operating system import project wizard display user project perhaps offer fix missing,1
63,63,TISTUD-213,disable hide deploy available project directory disable hide deploy available project directory currently deploy project support directory new set avoid user confusion probably hide gray problem,Disable or hide any deploy-targets that are not available in the project's resources directory disable hide deploy available project directory currently deploy project support directory new set avoid user confusion probably hide gray problem,1
64,64,TISTUD-215,explorer view transition perspective explorer view transition perspective user session perspective eclipse button left application still perspective user experience somewhat inconsistent presumably button inside explorer titanium perspective explorer exist give interface user,App Explorer view should transition to the Debug perspective explorer view transition perspective user session perspective eclipse button left application still perspective user experience somewhat inconsistent presumably button inside explorer titanium perspective explorer exist give interface user,1
65,65,TISTUD-216,remember last folder project remember last folder project would great project last folder finder explorer starting like eclipse imagine people tuck ti away special folder default last project folder one step away folder,Remember last folder imported project from remember last folder project would great project last folder finder explorer starting like eclipse imagine people tuck ti away special folder default last project folder one step away folder,1
66,66,TISTUD-232,update top level better version update top level better version following schema model add name description top level object version number string schema also require code update model,Update JSCA top-level metadata for better version tracking update top level better version following schema model add name description top level object version number string schema also require code update model,13
67,67,TISTUD-234,must able set default project location must able set default project location know path development often many ti studio need ability change default location whatever end developer,Must be able to set your own Default Project Location must able set default project location know path development often many ti studio need ability change default location whatever end developer,1
68,68,TISTUD-253,show progress sample project show progress sample project git clone kitchen sink around progress stuck somewhat since know whether something went wrong taking type progress indicator would nice,Show progress when importing sample project show progress sample project git clone kitchen sink around progress stuck somewhat since know whether something went wrong taking type progress indicator would nice,1
69,69,TISTUD-255,ability check build number page ability check build number page ability check build number running information written text file version folder,Ability to check the build number for tiDesktop and tiMobile SDK in the about page ability check build number page ability check build number running information written text file version folder,1
70,70,TISTUD-260,user manually alert user installation successfully user manually alert user installation successfully help install titanium user install however installation pop toast indicate installation process,"Once a user has updated the SDK manually, alert the user that installation has completed successfully user manually alert user installation successfully help install titanium user install however installation pop toast indicate installation process",1
71,71,TISTUD-267,arrange help menu arrange help menu see attached image suggest following titanium studio check titanium install titanium,Re-arrange Help menu options arrange help menu see attached image suggest following titanium studio check titanium install titanium,1
72,72,TISTUD-268,add titanium project creation add titanium project creation similar web work titanium ruble project creation run copy template one titanium ruble moment necessary create two somehow indicate apply mobile,Add templates to Titanium project creation add titanium project creation similar web work titanium ruble project creation run copy template one titanium ruble moment necessary create two somehow indicate apply mobile,1
73,73,TISTUD-273,allow selection allow selection another name eclipse based ide feature select based instead word handy example code like x put cursor row hold option shift hit left arrow would highlight row instead huge timesaver see everyone would like want option,Allow selection by CamelCase allow selection another name eclipse based ide feature select based instead word handy example code like o x put cursor row hold option shift hit left arrow would highlight row instead huge timesaver see everyone would like want option,8
74,74,TISTUD-280,nan,,1
75,75,TISTUD-285,remove auto setting directory titanium studio remove auto setting directory titanium studio instead let user pick default first launch,Remove auto-setting of workspace directory in Titanium Studio remove auto setting directory titanium studio instead let user pick default first launch,1
76,76,TISTUD-288,notify user mobile project creation notify user mobile project creation ordinarily allow user get far process somehow manage get alert user error,Notify user when mobile project creation fails notify user mobile project creation ordinarily allow user get far process somehow manage get alert user error,1
77,77,TISTUD-525,replace project underscore replace project underscore tried mobile project developer colon name got following console create project colon name reproduce instead replace colon underscore panel p title one moment title simulator title title command bin simulator title one moment building title copy name lite name lite build title name lite name lite build title name lite index name lite build index title name lite index name lite build index title name lite index name lite build index title name lite name lite build title name lite index name lite build index title name lite index name lite build index title name lite index name lite build index title name lite name lite build title name lite index name lite build index title name lite index name lite build index title name lite index name lite build index title name lite name lite build title name lite index name lite build index title name lite index name lite build index title name lite index name lite build index title name lite android name lite build android title name lite android default name lite build android default title name lite android name lite build android title name lite android default name lite build android default title name lite android name lite build android title name lite android default name lite build android default title name lite android name lite build android title name lite android default name lite build android default title name lite name lite build title name lite name lite build title name lite default name lite build default title name lite name lite build title name lite name lite build title name lite default name lite build default title name lite name lite build title name lite name lite build title name lite default name lite build default title name lite name lite build title name lite name lite build title name lite default name lite build default title copy name lite name lite build title name lite name lite build title name lite name lite build title name lite default name lite build default title name lite name lite build title name lite name lite build title name lite default name lite build default title name lite name lite build title name lite name lite build title name lite default name lite build default title name lite name lite build title name lite name lite build title name lite default name lite build default title module library dependency titanium title module library dependency titanium title module library dependency titanium network title module library dependency titanium platform title module library dependency titanium analytics title module library dependency titanium medium title module library dependency titanium gesture title module library dependency titanium title build title compiler toggle output title command configuration name lite build strong log strong id strong development recent call last file library application support titanium builder line main file library application support titanium builder line main strong log strong id strong development file library application support titanium run line run se pipe pipe communicate file system library python framework line communicate return self em communicate input file system library python framework line em communicate select select p div panel,Replace colons in project names with underscore characters replace project underscore tried mobile project developer colon name got following console create project colon name reproduce instead replace colon underscore panel p title one moment title simulator title title command bin simulator title one moment building title copy name lite name lite build title name lite name lite build title name lite index name lite build index title name lite index name lite build index title name lite index name lite build index title name lite name lite build title name lite index name lite build index title name lite index name lite build index title name lite index name lite build index title name lite name lite build title name lite index name lite build index title name lite index name lite build index title name lite index name lite build index title name lite name lite build title name lite index name lite build index title name lite index name lite build index title name lite index name lite build index title name lite android name lite build android title name lite android default name lite build android default title name lite android name lite build android title name lite android default name lite build android default title name lite android name lite build android title name lite android default name lite build android default title name lite android name lite build android title name lite android default name lite build android default title name lite name lite build title name lite name lite build title name lite default name lite build default title name lite name lite build title name lite name lite build title name lite default name lite build default title name lite name lite build title name lite name lite build title name lite default name lite build default title name lite name lite build title name lite name lite build title name lite default name lite build default title copy name lite name lite build title name lite name lite build title name lite name lite build title name lite default name lite build default title name lite name lite build title name lite name lite build title name lite default name lite build default title name lite name lite build title name lite name lite build title name lite default name lite build default title name lite name lite build title name lite name lite build title name lite default name lite build default title module library dependency titanium title module library dependency titanium title module library dependency titanium network title module library dependency titanium platform title module library dependency titanium analytics title module library dependency titanium medium title module library dependency titanium gesture title module library dependency titanium title build title compiler toggle output title command configuration name lite build strong log strong id strong development recent call last file library application support titanium builder line main file library application support titanium builder line main strong log strong id strong development file library application support titanium run line run se pipe pipe communicate file system library python framework line communicate return self em communicate input file system library python framework line em communicate select select p div panel,5
78,78,TISTUD-297,ability hide hidden explorer view ability hide hidden explorer view external visible also directory eclipse hidden think,Ability to hide hidden files from App Explorer View ability hide hidden explorer view external visible also directory eclipse hidden think,1
79,79,TISTUD-298,android server support android server support recently new feature android project folder directly running server long running several currently spawning builder work command line eclipse still application installer script running guessing actually solution would probably ide run directly already running syntax starting stopping server pretty straight forward android start path project android stop path project check server running looking lock file path project lock,Android: Fastdev Server Support android server support recently new feature android project folder directly running server long running several currently spawning builder work command line eclipse still application installer script running guessing actually solution would probably ide run directly already running syntax starting stopping server pretty straight forward android start path project android stop path project check server running looking lock file path project lock,1
80,80,TISTUD-300,allow override titanium update check allow override titanium update check currently check net p release list allow user specify new location check suggest preference titanium page allow user plug new,Allow for override of Titanium SDK update check URL allow override titanium update check currently check net p release list allow user specify new location check suggest preference titanium page allow user plug new,1
81,81,TISTUD-302,build error external module build error external module try include external module module tree compile run simulator get following error error error recent call last file library application support titanium builder line main development false file library application support titanium builder line output run run false false file library application support titanium run line run exit code correctly titanium developer version,Build error when using external module build error external module try include external module module tree compile run simulator get following error error error recent call last file library application support titanium builder line main development false file library application support titanium builder line output run run false false file library application support titanium run line run exit code correctly titanium developer version,1
82,82,TISTUD-310,add ability run project without first add ability run project without first like able run project simulator emulator least without import project would especially useful learning training environment working many different would helpful try code like would give need,Add ability to run a project without importing it first add ability run project without first like able run project simulator emulator least without import project would especially useful learning training environment working many different would helpful try code like would give need,1
83,83,TISTUD-317,confirm blackberry tooling install top titanium studio confirm blackberry tooling install top titanium studio confirm blackberry tooling top titanium studio na blackberry cannot need figure make titanium studio order able work turn whole bunch like editor may want consider wish blackberry development install eclipse use,Confirm BlackBerry Tooling can install on top of Titanium Studio confirm blackberry tooling install top titanium studio confirm blackberry tooling top titanium studio na blackberry cannot need figure make titanium studio order able work turn whole bunch like editor may want consider wish blackberry development install eclipse use,1
84,84,TISTUD-318,add blackberry option titanium mobile new project wizard add blackberry option titanium mobile new project wizard similar android create new project wizard deployment section user must blackberry version blackberry blackberry work option would,Add BlackBerry option to Titanium Mobile New Project Wizard add blackberry option titanium mobile new project wizard similar android create new project wizard deployment section user must blackberry version blackberry blackberry work option would,1
85,85,TISTUD-319,add blackberry run emulator add blackberry run emulator running blackberry emulator similar running android emulator option play menu explorer project explorer automatically blackberry deploy target following need exist launch configuration simulator simulator run application selected simulator default touch interface easiest drive mouse keyboard filter amount log output developer window based level selected default trace blackberry normally low need go trace lot simulator useful normal launch button click button launch selected blackberry simulator clear clear next simulator launch receive stop simulator click next launch one emulator suggest showing pop may future user start locate application section main blackberry menu blackberry key simulator folder application,"Add BlackBerry ""Run on Emulator"" add blackberry run emulator running blackberry emulator similar running android emulator option play menu explorer project explorer automatically blackberry deploy target following need exist launch configuration simulator simulator run application selected simulator default touch interface easiest drive mouse keyboard filter amount log output developer window based level selected default trace blackberry normally low need go trace lot simulator useful normal launch button click button launch selected blackberry simulator clear clear next simulator launch receive stop simulator click next launch one emulator suggest showing pop may future user start locate application section main blackberry menu blackberry key simulator folder application",1
86,86,TISTUD-320,make run device make run device least padding around individual would good though perhaps indicate state might look good,"Make ""Run on Device"" iOS dialog prettier make run device least padding around individual would good though perhaps indicate state might look good",1
87,87,TISTUD-321,add configure blackberry add configure blackberry suggest information titanium preference page user need configure send text rim sent device must user private key get link blackberry remember pin need first time generate private key sign application form field blackberry key directory user browse folder disk three unsure need text box add help link titanium studio additional install shown developer doc blackberry getting beta preview,Add options to configure BlackBerry signing keys in Preferences add configure blackberry suggest information titanium preference page user need configure send text rim sent device must user private key get link blackberry remember pin need first time generate private key sign application form field blackberry key directory user browse folder disk three unsure need text box add help link titanium studio additional install shown developer doc blackberry getting beta preview,1
88,88,TISTUD-322,add option configure blackberry add option configure blackberry similar android blackberry need point version blackberry default titanium studio fill value however user option configure value something default e different version eclipse might necessary blackberry require bit user might eclipse bit,Add option to configure BlackBerry SDK in preferences add option configure blackberry similar android blackberry need point version blackberry default titanium studio fill value however user option configure value something default e different version eclipse might necessary blackberry require bit user might eclipse bit,1
89,89,TISTUD-323,add blackberry install device add blackberry install device check see user three blackberry direct preference page set private key yet appear ask create private key user private key wizard may ask device may need prompt user emulation one emulator suggest showing pop may future user start locate application section main blackberry menu blackberry key device folder application,"Add BlackBerry ""Install To Device"" add blackberry install device check see user three blackberry direct preference page set private key yet appear ask create private key user private key wizard may ask device may need prompt user emulation one emulator suggest showing pop may future user start locate application section main blackberry menu blackberry key device folder application",1
90,90,TISTUD-324,add blackberry package distribution wizard add blackberry package distribution wizard similar android appear button explorer project explorer check exist blackberry user direct preference page set save location final file via browse button run builder script appropriate complete process,"Add BlackBerry ""Package for Distribution"" wizard add blackberry package distribution wizard similar android appear button explorer project explorer check exist blackberry user direct preference page set save location final file via browse button run builder script appropriate complete process",1
91,91,TISTUD-325,create blackberry icon run deploy create blackberry icon run deploy similar android little icon x display various run deploy,Create Blackberry icon for run/deploy/packaging create blackberry icon run deploy similar android little icon x display various run deploy,1
92,92,TISTUD-327,add blackberry emulator add blackberry emulator similar android support add option launch device see run emulator relevant device configuration ticket run studio actual work would handled blackberry team,Add BlackBerry Debug on Emulator add blackberry emulator similar android support add option launch device see run emulator relevant device configuration ticket run studio actual work would handled blackberry team,1
93,93,TISTUD-335,command click method jump source command click method jump source eclipse based ide command click method property jump source source another file open file go source actually work right context would wonderful,"Command + Click method, var, etc. jump to source command click method jump source eclipse based ide command click method property jump source source another file open file go source actually work right context would wonderful",1
94,94,TISTUD-336,outline window always show object self outline window always show object self self sometimes outline view show break inside good example code test function test return test function test test function blah test return blah return function test test function blah test return blah return code,Outline window doesn't always show javascript object outlines for self-invoking functions outline window always show object self self sometimes outline view show break inside good example code test function test return test function test test function blah test return blah return function test test function blah test return blah return code,8
95,95,TISTUD-339,enable enable click view perspective tab right click import actual result nothing result allow user import,Enable importing breakpoint files enable click view perspective tab right click import actual result nothing result allow user import,1
96,96,TISTUD-346,titanium studio switch titanium studio switch switch lengthy annoying task,Titanium Studio downloads SDK updates again after workspace switch titanium studio switch switch lengthy annoying task,1
97,97,TISTUD-348,add add send analytic project creation launch simulator,Add pings to HTML5 events add send analytic project creation launch simulator,1
98,98,TISTUD-355,loading bar login cancel button password loading bar login cancel button password login loading bar button password,Loading bar displaces Login / Cancel buttons and Email / Password fields loading bar login cancel button password login loading bar button password,5
99,99,TISTUD-357,splash screen splash screen first boot titanium studio introductory splash screen screen loading bar location screen couple transition first second,Splash screen jumps splash screen first boot titanium studio introductory splash screen screen loading bar location screen couple transition first second,5
